SISRecID,count,name_com,name_sci,status
22678068,126,NA,NA,NA
22678073,92,Greater Rhea,Rhea americana,NT
22678081,16,NA,NA,NA
22678108,22,Southern Cassowary,Casuarius casuarius,LC
22678111,3,Dwarf Cassowary,Casuarius bennetti,LC
22678114,5,Northern Cassowary,Casuarius unappendiculatus,LC
22678117,1,Common Emu,Dromaius novaehollandiae,LC
22678122,18,Southern Brown Kiwi,Apteryx australis,VU
22678129,18,Little Spotted Kiwi,Apteryx owenii,NT
22678132,15,Great Spotted Kiwi,Apteryx haastii,VU
22678139,2,Solitary Tinamou,Tinamus solitarius,NT
22678145,2,Black Tinamou,Tinamus osgoodi,VU
22678148,9,Great Tinamou,Tinamus major,LC
22678151,3,White-throated Tinamou,Tinamus guttatus,NT
22678154,1,Highland Tinamou,Nothocercus bonapartei,LC
22678169,3,Little Tinamou,Crypturellus soui,LC
22678176,4,Brown Tinamou,Crypturellus obsoletus,LC
22678179,2,NA,NA,NA
22678182,2,Undulated Tinamou,Crypturellus undulatus,LC
22678185,1,Pale-browed Tinamou,Crypturellus transfasciatus,NT
22678191,2,Slaty-breasted Tinamou,Crypturellus boucardi,LC
22678198,1,NA,NA,NA
22678217,8,Yellow-legged Tinamou,Crypturellus noctivagus,NT
22678223,3,Variegated Tinamou,Crypturellus variegatus,LC
22678226,2,Rusty Tinamou,Crypturellus brevirostris,LC
22678232,3,Small-billed Tinamou,Crypturellus parvirostris,LC
22678238,2,Tataupa Tinamou,Crypturellus tataupa,LC
22678241,3,NA,NA,NA
22678254,1,Ornate Tinamou,Nothoprocta ornata,LC
22678265,6,Chilean Tinamou,Nothoprocta perdicaria,LC
22678277,4,NA,NA,NA
22678280,1,Lesser Nothura,Nothura minor,VU
22678283,2,White-bellied Nothura,Nothura boraquira,LC
22678286,1,Dwarf Tinamou,Taoniscus nanus,EN
22678289,5,Elegant Crested Tinamou,Eudromia elegans,LC
22678294,1,Quebracho Crested Tinamou,Eudromia formosa,LC
22678299,1,Puna Tinamou,Tinamotis pentlandii,LC
22678302,1,Patagonian Tinamou,Tinamotis ingoufi,LC
22678305,5,Plain Chachalaca,Ortalis vetula,LC
22678312,1,Chestnut-winged Chachalaca,Ortalis garrula,LC
22678315,2,Rufous-vented Chachalaca,Ortalis ruficauda,LC
22678325,2,West Mexican Chachalaca,Ortalis poliocephala,LC
22678328,1,Chaco Chachalaca,Ortalis canicollis,LC
22678342,2,Little Chachalaca,Ortalis motmot,LC
22678357,2,Bearded Guan,Penelope barbata,NT
22678364,2,Andean Guan,Penelope montagnii,LC
22678367,1,Marail Guan,Penelope marail,LC
22678376,6,Crested Guan,Penelope purpurascens,NT
22678379,7,Cauca Guan,Penelope perspicax,VU
22678382,5,White-winged Guan,Penelope albipennis,EN
22678386,4,Spix's Guan,Penelope jacquacu,LC
22678389,2,Dusky-legged Guan,Penelope obscura,LC
22678395,2,Chestnut-bellied Guan,Penelope ochrogaster,VU
22678398,4,White-browed Guan,Penelope jacucaca,VU
22678414,3,NA,NA,NA
22678443,1,Black Guan,Chamaepetes unicolor,LC
22678446,1,Sickle-winged Guan,Chamaepetes goudotii,LC
22678449,1,Highland Guan,Penelopina nigra,VU
22678453,9,Horned Guan,Oreophasis derbianus,EN
22678461,4,Nocturnal Curassow,Nothocrax urumutum,LC
22678472,2,Salvin's Curassow,Mitu salvini,LC
22678478,3,Razor-billed Curassow,Mitu tuberosum,NT
22678486,10,Alagoas Curassow,Mitu mitu,EW
22678497,1,Helmeted Curassow,Pauxi pauxi,EN
22678509,1,NA,NA,NA
22678521,12,Great Curassow,Crax rubra,VU
22678525,1,Blue-billed Curassow,Crax alberti,CR
22678534,5,Black Curassow,Crax alector,LC
22678537,2,Wattled Curassow,Crax globulosa,EN
22678541,4,NA,NA,NA
22678544,8,Red-billed Curassow,Crax blumenbachii,EN
22678551,1,Australian Brush-turkey,Alectura lathami,LC
22678555,5,Wattled Brush-turkey,Aepypodius arfakianus,LC
22678559,1,Waigeo Brush-turkey,Aepypodius bruijnii,EN
22678572,1,Collared Brush-turkey,Talegalla jobiensis,LC
22678576,66,Maleo,Macrocephalon maleo,CR
22678597,7,NA,NA,NA
22678620,1,Micronesian Scrubfowl,Megapodius laperouse,NT
22678632,12,Moluccan Scrubfowl,Eulipoa wallacei,VU
22678646,4,Malleefowl,Leipoa ocellata,VU
22678649,5,Snow Partridge,Lerwa lerwa,LC
22678652,1,See-see Partridge,Ammoperdix griseogularis,LC
22678661,2,Caucasian Snowcock,Tetraogallus caucasicus,LC
22678667,6,Tibetan Snowcock,Tetraogallus tibetanus,LC
22678673,5,Himalayan Snowcock,Tetraogallus himalayensis,LC
22678680,3,Buff-throated Partridge,Tetraophasis szechenyii,LC
22678684,18,Rock Partridge,Alectoris graeca,NT
22678691,69,Chukar,Alectoris chukar,LC
22678703,2,Przevalski's Partridge,Alectoris magna,LC
22678707,11,Barbary Partridge,Alectoris barbara,LC
22678711,15,Red-legged Partridge,Alectoris rufa,NT
22678719,11,Black Francolin,Francolinus francolinus,LC
22678722,2,Painted Francolin,Francolinus pictus,LC
22678725,1,Chinese Francolin,Francolinus pintadeanus,LC
22678728,7,Grey Francolin,Francolinus pondicerianus,LC
22678733,1,Swamp Francolin,Francolinus gularis,VU
22678736,2,Coqui Francolin,Peliperdix coqui,LC
22678740,1,White-throated Francolin,Peliperdix albogularis,LC
22678748,1,Forest Francolin,Peliperdix lathami,LC
22678752,2,Crested Francolin,Dendroperdix sephaena,LC
22678756,1,Ring-necked Francolin,Scleroptila streptophora,NT
22678764,1,Grey-winged Francolin,Scleroptila afra,LC
22678769,1,Red-winged Francolin,Scleroptila levaillantii,LC
22678790,1,Orange River Francolin,Scleroptila gutturalis,LC
22678795,1,Nahan's Partridge,Ptilopachus nahani,VU
22678799,1,Hartlaub's Francolin,Pternistis hartlaubi,LC
22678803,3,Double-spurred Francolin,Pternistis bicalcaratus,LC
22678811,1,Heuglin's Francolin,Pternistis icterorhynchus,LC
22678819,1,Red-billed Francolin,Pternistis adspersus,LC
22678823,2,Cape Francolin,Pternistis capensis,LC
22678827,1,Hildebrandt's Francolin,Pternistis hildebrandti,LC
22678831,2,Natal Francolin,Pternistis natalensis,LC
22678835,1,Ahanta Francolin,Pternistis ahantensis,LC
22678839,2,Scaly Francolin,Pternistis squamatus,LC
22678847,3,Yellow-necked Francolin,Pternistis leucoscepus,LC
22678851,1,Grey-breasted Francolin,Pternistis rufopictus,LC
22678855,2,Red-necked Francolin,Pternistis afer,LC
22678860,2,Swainson's Francolin,Pternistis swainsonii,LC
22678865,3,Erckel's Francolin,Pternistis erckelii,LC
22678883,1,Handsome Francolin,Pternistis nobilis,LC
22678891,1,Mount Cameroon Francolin,Pternistis camerunensis,EN
22678901,2,Udzungwa Forest-partridge,Xenoperdix udzungwensis,EN
22678911,133,Grey Partridge,Perdix perdix,LC
22678916,2,Daurian Partridge,Perdix dauurica,LC
22678919,1,Tibetan Partridge,Perdix hodgsoniae,LC
22678922,1,NA,NA,NA
22678934,3,Black Partridge,Melanoperdix niger,VU
22678944,235,Common Quail,Coturnix coturnix,LC
22678949,60,Japanese Quail,Coturnix japonica,NT
22678952,5,Stubble Quail,Coturnix pectoralis,LC
22678961,1,Harlequin Quail,Coturnix delegorguei,LC
22678965,2,Brown Quail,Synoicus ypsilophorus,LC
22678979,4,Asian Blue Quail,Synoicus chinensis,LC
22678997,4,Jungle Bush-quail,Perdicula asiatica,LC
22679012,3,Manipur Bush-quail,Perdicula manipurensis,EN
22679017,5,Hill Partridge,Arborophila torqueola,LC
22679032,1,Bar-backed Partridge,Arborophila brunneopectus,LC
22679035,6,Sichuan Partridge,Arborophila rufipectus,EN
22679044,1,Chestnut-bellied Partridge,Arborophila javanica,LC
22679050,3,Collared Partridge,Arborophila gingica,NT
22679054,1,Orange-necked Partridge,Arborophila davidi,NT
22679057,1,Chestnut-headed Partridge,Arborophila cambodiana,LC
22679063,4,Hainan Partridge,Arborophila ardens,VU
22679083,3,NA,NA,NA
22679094,1,Ferruginous Partridge,Caloperdix oculeus,NT
22679110,5,Stone Partridge,Ptilopachus petrosus,LC
22679119,3,NA,NA,NA
22679141,3,Himalayan Quail,Ophrysia superciliosa,CR
22679144,7,Blood Pheasant,Ithaginis cruentus,LC
22679147,3,Western Tragopan,Tragopan melanocephalus,VU
22679157,3,Satyr Tragopan,Tragopan satyra,NT
22679169,6,Temminck's Tragopan,Tragopan temminckii,LC
22679172,6,Cabot's Tragopan,Tragopan caboti,VU
22679179,7,Koklass Pheasant,Pucrasia macrolopha,LC
22679182,11,Himalayan Monal,Lophophorus impejanus,LC
22679185,1,Sclater's Monal,Lophophorus sclateri,VU
22679192,5,Chinese Monal,Lophophorus lhuysii,VU
22679199,226,Red Junglefowl,Gallus gallus,LC
22679203,7,Grey Junglefowl,Gallus sonneratii,LC
22679209,6,Sri Lanka Junglefowl,Gallus lafayettii,LC
22679213,8,Green Junglefowl,Gallus varius,LC
22679217,10,Kalij Pheasant,Lophura leucomelanos,LC
22679220,17,Silver Pheasant,Lophura nycthemera,LC
22679225,1,NA,NA,NA
22679230,6,NA,NA,NA
22679241,6,Swinhoe's Pheasant,Lophura swinhoii,NT
22679246,1,NA,NA,NA
22679254,1,NA,NA,NA
22679274,5,Siamese Fireback,Lophura diardi,LC
22679287,3,Tibetan Eared-pheasant,Crossoptilon harmani,NT
22679292,3,White Eared-pheasant,Crossoptilon crossoptilon,NT
22679299,9,Brown Eared-pheasant,Crossoptilon mantchuricum,VU
22679307,6,Blue Eared-pheasant,Crossoptilon auritum,LC
22679312,13,Cheer Pheasant,Catreus wallichii,VU
22679325,3,Elliot's Pheasant,Syrmaticus ellioti,NT
22679330,6,Mrs Hume's Pheasant,Syrmaticus humiae,NT
22679336,3,Mikado Pheasant,Syrmaticus mikado,NT
22679340,3,Copper Pheasant,Syrmaticus soemmerringii,NT
22679346,2,Reeves's Pheasant,Syrmaticus reevesii,VU
22679349,190,NA,NA,NA
22679355,19,Golden Pheasant,Chrysolophus pictus,LC
22679358,5,Lady Amherst's Pheasant,Chrysolophus amherstiae,LC
22679379,3,NA,NA,NA
22679385,1,Malay Peacock-pheasant,Polyplectron malacense,VU
22679412,6,NA,NA,NA
22679420,12,NA,NA,NA
22679435,45,Indian Peafowl,Pavo cristatus,LC
22679440,9,Green Peafowl,Pavo muticus,EN
22679446,3,Siberian Grouse,Falcipennis falcipennis,NT
22679449,12,NA,NA,NA
22679455,10,NA,NA,NA
22679460,66,Willow Grouse,Lagopus lagopus,LC
22679464,124,Rock Ptarmigan,Lagopus muta,LC
22679473,13,White-tailed Ptarmigan,Lagopus leucura,LC
22679480,59,Black Grouse,Lyrurus tetrix,LC
22679483,3,Caucasian Grouse,Lyrurus mlokosiewiczi,NT
22679487,38,Western Capercaillie,Tetrao urogallus,LC
22679491,2,Black-billed Capercaillie,Tetrao urogalloides,LC
22679494,17,Hazel Grouse,Bonasa bonasia,LC
22679497,12,Chinese Grouse,Bonasa sewerzowi,NT
22679500,25,Ruffed Grouse,Bonasa umbellus,LC
22679503,44,Sage Grouse,Centrocercus urophasianus,NT
22679511,10,Sharp-tailed Grouse,Tympanuchus phasianellus,LC
22679514,9,Greater Prairie-chicken,Tympanuchus cupido,NT
22679519,35,Lesser Prairie-chicken,Tympanuchus pallidicinctus,VU
22679525,489,Wild Turkey,Meleagris gallopavo,LC
22679545,4,White-breasted Guineafowl,Agelastes meleagrides,VU
22679551,1,Black Guineafowl,Agelastes niger,LC
22679555,92,Helmeted Guineafowl,Numida meleagris,LC
22679564,2,NA,NA,NA
22679572,13,Vulturine Guineafowl,Acryllium vulturinum,LC
22679576,1,Bearded Wood-partridge,Dendrortyx barbatus,VU
22679581,3,Long-tailed Wood-partridge,Dendrortyx macroura,LC
22679591,2,Mountain Quail,Oreortyx pictus,LC
22679594,22,Scaled Quail,Callipepla squamata,LC
22679603,16,California Quail,Callipepla californica,LC
22679609,7,Gambel's Quail,Callipepla gambelii,LC
22679618,1,NA,NA,NA
22679623,1,Black-throated Bobwhite,Colinus nigrogularis,LC
22679627,2,NA,NA,NA
22679635,1,Spot-winged Wood-quail,Odontophorus capueira,LC
22679655,1,Chestnut Wood-quail,Odontophorus hyperythrus,LC
22679688,1,Black-breasted Wood-quail,Odontophorus leucolaemus,LC
22679703,1,Spotted Wood-quail,Odontophorus guttatus,LC
22679711,3,NA,NA,NA
22679723,1,Horned Screamer,Anhima cornuta,LC
22679726,1,Northern Screamer,Chauna chavaria,NT
22679729,4,Southern Screamer,Chauna torquata,LC
22679732,4,Magpie Goose,Anseranas semipalmata,LC
22679746,4,Fulvous Whistling-duck,Dendrocygna bicolor,LC
22679753,1,Wandering Whistling-duck,Dendrocygna arcuata,LC
22679758,20,Lesser Whistling-duck,Dendrocygna javanica,LC
22679763,19,White-faced Whistling-duck,Dendrocygna viduata,LC
22679770,3,West Indian Whistling-duck,Dendrocygna arborea,NT
22679780,9,Black-bellied Whistling-duck,Dendrocygna autumnalis,LC
22679785,2,White-backed Duck,Thalassornis leuconotus,LC
22679789,2,Masked Duck,Nomonyx dominicus,LC
22679814,3,White-headed Duck,Oxyura leucocephala,EN
22679820,1,Maccoa Duck,Oxyura maccoa,EN
22679824,1,Lake Duck,Oxyura vittata,LC
22679830,5,Musk Duck,Biziura lobata,LC
22679833,4,Black-headed Duck,Heteronetta atricapilla,LC
22679836,2,Freckled Duck,Stictonetta naevosa,LC
22679839,43,Mute Swan,Cygnus olor,LC
22679843,19,Black Swan,Cygnus atratus,LC
22679846,4,Black-necked Swan,Cygnus melancoryphus,LC
22679856,31,Whooper Swan,Cygnus cygnus,LC
22679859,12,Trumpeter Swan,Cygnus buccinator,LC
22679862,47,Tundra Swan,Cygnus columbianus,LC
22679866,4,Coscoroba Swan,Coscoroba coscoroba,LC
22679869,63,Swan Goose,Anser cygnoid,VU
22679872,33,Pink-footed Goose,Anser brachyrhynchus,LC
22679875,56,Bean Goose,Anser fabalis,LC
22679881,80,Greater White-fronted Goose,Anser albifrons,LC
22679886,10,NA,NA,NA
22679889,78,Greylag Goose,Anser anser,LC
22679893,22,Bar-headed Goose,Anser indicus,LC
22679896,49,Snow Goose,Anser caerulescens,LC
22679909,6,Ross's Goose,Anser rossii,LC
22679919,2,Emperor Goose,Anser canagicus,NT
22679929,6,Hawaiian Goose,Branta sandvicensis,NT
22679935,53,Canada Goose,Branta canadensis,LC
22679943,34,Barnacle Goose,Branta leucopsis,LC
22679946,65,Brent Goose,Branta bernicla,LC
22679954,8,Red-breasted Goose,Branta ruficollis,VU
22679961,2,Blue-winged Goose,Cyanochen cyanoptera,VU
22679972,8,Andean Goose,Chloephaga melanoptera,LC
22679975,12,Upland Goose,Chloephaga picta,LC
22679981,5,Ashy-headed Goose,Chloephaga poliocephala,LC
22679984,3,Ruddy-headed Goose,Chloephaga rubidiceps,LC
22679987,9,Orinoco Goose,Neochen jubata,NT
22679993,10,Egyptian Goose,Alopochen aegyptiaca,LC
22680003,16,Ruddy Shelduck,Tadorna ferruginea,LC
22680007,3,South African Shelduck,Tadorna cana,LC
22680011,2,Australian Shelduck,Tadorna tadornoides,LC
22680015,1,Paradise Shelduck,Tadorna variegata,LC
22680024,23,Common Shelduck,Tadorna tadorna,LC
22680029,2,Radjah Shelduck,Radjah radjah,LC
22680033,5,Magellanic Steamerduck,Tachyeres pteneres,LC
22680038,1,White-headed Steamerduck,Tachyeres leucocephalus,VU
22680047,2,Falkland Steamerduck,Tachyeres brachypterus,LC
22680057,5,Spur-winged Goose,Plectropterus gambensis,LC
22680061,18,Muscovy Duck,Cairina moschata,LC
22680064,5,White-winged Duck,Asarcornis scutulata,EN
22680079,3,NA,NA,NA
22680086,1,Green Pygmy-goose,Nettapus pulchellus,LC
22680090,1,Cotton Pygmy-goose,Nettapus coromandelianus,LC
22680101,1,Ringed Teal,Callonetta leucophrys,LC
22680104,19,Wood Duck,Aix sponsa,LC
22680107,46,Mandarin Duck,Aix galericulata,LC
22680111,4,Maned Duck,Chenonetta jubata,LC
22680115,1,Brazilian Teal,Amazonetta brasiliensis,LC
22680118,3,Torrent Duck,Merganetta armata,LC
22680121,1,Blue Duck,Hymenolaimus malacorhynchos,EN
22680130,4,Crested Duck,Lophonetta specularioides,LC
22680136,1,Spectacled Duck,Speculanas specularis,NT
22680149,40,Gadwall,Mareca strepera,LC
22680153,4,Falcated Duck,Mareca falcata,NT
22680157,52,Eurasian Wigeon,Mareca penelope,LC
22680163,19,American Wigeon,Mareca americana,LC
22680167,4,Chiloe Wigeon,Mareca sibilatrix,LC
22680174,15,American Black Duck,Anas rubripes,LC
22680178,25,Mottled Duck,Anas fulvigula,LC
22680186,267,Mallard,Anas platyrhynchos,LC
22680199,8,Hawaiian Duck,Anas wyvilliana,EN
22680203,2,Laysan Duck,Anas laysanensis,CR
22680208,13,NA,NA,NA
22680214,4,Philippine Duck,Anas luzonica,VU
22680217,13,Pacific Black Duck,Anas superciliosa,LC
22680221,2,Yellow-billed Duck,Anas undulata,LC
22680225,1,Meller's Duck,Anas melleri,EN
22680229,15,Blue-winged Teal,Spatula discors,LC
22680233,21,Cinnamon Teal,Spatula cyanoptera,LC
22680236,1,Cape Shoveler,Spatula smithii,LC
22680240,2,Red Shoveler,Spatula platalea,LC
22680243,1,NA,NA,NA
22680247,50,Northern Shoveler,Spatula clypeata,LC
22680252,1,Madagascar Teal,Anas bernieri,EN
22680263,1,NA,NA,NA
22680271,4,Grey Teal,Anas gracilis,LC
22680277,3,Chestnut Teal,Anas castanea,LC
22680287,7,White-cheeked Pintail,Anas bahamensis,LC
22680290,3,Red-billed Teal,Anas erythrorhyncha,LC
22680295,14,NA,NA,NA
22680301,89,Northern Pintail,Anas acuta,LC
22680310,6,Yellow-billed Pintail,Anas georgica,LC
22680313,17,Garganey,Spatula querquedula,LC
22680317,3,Baikal Teal,Sibirionetta formosa,LC
22680326,2,Puna Teal,Spatula puna,LC
22680332,1,Blue-billed Teal,Spatula hottentota,LC
22680339,6,Marbled Teal,Marmaronetta angustirostris,VU
22680344,1,Pink-headed Duck,Rhodonessa caryophyllacea,CR
22680348,4,Red-crested Pochard,Netta rufina,LC
22680351,2,Rosy-billed Pochard,Netta peposaca,LC
22680354,1,Southern Pochard,Netta erythrophthalma,LC
22680358,73,Common Pochard,Aythya ferina,VU
22680364,8,Canvasback,Aythya valisineria,LC
22680367,17,Redhead,Aythya americana,LC
22680370,10,Ring-necked Duck,Aythya collaris,LC
22680373,5,Ferruginous Duck,Aythya nyroca,NT
22680380,2,Madagascar Pochard,Aythya innotata,CR
22680384,2,Baer's Pochard,Aythya baeri,CR
22680387,4,Hardhead,Aythya australis,LC
22680391,41,Tufted Duck,Aythya fuligula,LC
22680395,2,New Zealand Scaup,Aythya novaeseelandiae,LC
22680398,24,Greater Scaup,Aythya marila,LC
22680402,20,Lesser Scaup,Aythya affinis,LC
22680405,178,Common Eider,Somateria mollissima,NT
22680409,11,King Eider,Somateria spectabilis,LC
22680412,18,Spectacled Eider,Somateria fischeri,NT
22680415,12,Steller's Eider,Polysticta stelleri,VU
22680418,1,Labrador Duck,Camptorhynchus labradorius,EX
22680423,25,Harlequin Duck,Histrionicus histrionicus,LC
22680427,38,Long-tailed Duck,Clangula hyemalis,VU
22680430,14,NA,NA,NA
22680441,11,Surf Scoter,Melanitta perspicillata,LC
22680444,24,NA,NA,NA
22680455,38,Common Goldeneye,Bucephala clangula,LC
22680459,4,Barrow's Goldeneye,Bucephala islandica,LC
22680462,8,Bufflehead,Bucephala albeola,LC
22680465,8,Smew,Mergellus albellus,LC
22680472,8,Hooded Merganser,Lophodytes cucullatus,LC
22680482,4,NA,NA,NA
22680485,10,Red-breasted Merganser,Mergus serrator,LC
22680488,10,Scaly-sided Merganser,Mergus squamatus,EN
22680492,21,Goosander,Mergus merganser,LC
22680500,1,Common Buttonquail,Turnix sylvaticus,LC
22680528,1,NA,NA,NA
22680539,2,Yellow-legged Buttonquail,Turnix tanki,LC
22680549,5,Barred Buttonquail,Turnix suscitator,LC
22680556,1,Black-breasted Buttonquail,Turnix melanogaster,NT
22680560,3,Chestnut-backed Buttonquail,Turnix castanotus,LC
22680572,2,Buff-breasted Buttonquail,Turnix olivii,EN
22680579,1,NA,NA,NA
22680595,1,Red-chested Buttonquail,Turnix pyrrhothorax,LC
22680599,4,Little Buttonquail,Turnix velox,LC
22680616,1,Greater Honeyguide,Indicator indicator,LC
22680683,12,Eurasian Wryneck,Jynx torquilla,LC
22680709,1,NA,NA,NA
22680730,1,Spotted Piculet,Picumnus pygmaeus,LC
22680739,3,White-barred Piculet,Picumnus cirratus,LC
22680753,1,White-wedged Piculet,Picumnus albosquamatus,LC
22680759,1,Tawny Piculet,Picumnus fulvescens,NT
22680762,1,Ochraceous Piculet,Picumnus limae,LC
22680774,1,Olivaceous Piculet,Picumnus olivaceus,LC
22680777,2,Greyish Piculet,Picumnus granadensis,LC
22680784,5,African Piculet,Verreauxia africana,LC
22680789,1,Rufous Piculet,Sasia abnormis,LC
22680792,2,White-browed Piculet,Sasia ochracea,LC
22680798,8,White Woodpecker,Melanerpes candidus,LC
22680801,1,Lewis's Woodpecker,Melanerpes lewis,LC
22680810,10,Red-headed Woodpecker,Melanerpes erythrocephalus,LC
22680813,12,Acorn Woodpecker,Melanerpes formicivorus,LC
22680816,1,Black-cheeked Woodpecker,Melanerpes pucherani,LC
22680824,1,Yellow-tufted Woodpecker,Melanerpes cruentatus,LC
22680831,5,White-fronted Woodpecker,Melanerpes cactorum,LC
22680834,6,Hispaniolan Woodpecker,Melanerpes striatus,LC
22680840,3,Golden-cheeked Woodpecker,Melanerpes chrysogenys,LC
22680843,1,Grey-breasted Woodpecker,Melanerpes hypopolius,LC
22680850,5,Red-crowned Woodpecker,Melanerpes rubricapillus,LC
22680853,2,Gila Woodpecker,Melanerpes uropygialis,LC
22680856,7,Red-bellied Woodpecker,Melanerpes carolinus,LC
22680862,15,Golden-fronted Woodpecker,Melanerpes aurifrons,LC
22680865,1,Hoffmann's Woodpecker,Melanerpes hoffmannii,LC
22680868,16,Yellow-bellied Sapsucker,Sphyrapicus varius,LC
22680871,5,Red-naped Sapsucker,Sphyrapicus nuchalis,LC
22680874,15,Red-breasted Sapsucker,Sphyrapicus ruber,LC
22680877,1,Williamson's Sapsucker,Sphyrapicus thyroideus,LC
22680880,2,Cuban Green Woodpecker,Xiphidiopicus percussus,LC
22680887,1,Nubian Woodpecker,Campethera nubica,LC
22680910,1,Knysna Woodpecker,Campethera notata,NT
22680937,1,Buff-spotted Woodpecker,Campethera nivosa,LC
22680941,1,Brown-eared Woodpecker,Campethera caroli,LC
22681023,1,Olive Woodpecker,Dendropicos griseocephalus,LC
22681060,1,Indian Pygmy Woodpecker,Picoides nanus,LC
22681068,4,Grey-capped Woodpecker,Picoides canicapillus,LC
22681072,7,Japanese Pygmy Woodpecker,Picoides kizuki,LC
22681076,18,Lesser Spotted Woodpecker,Dryobates minor,LC
22681082,1,NA,NA,NA
22681092,2,Yellow-crowned Woodpecker,Leiopicus mahrattensis,LC
22681111,1,Darjeeling Woodpecker,Dendrocopos darjellensis,LC
22681114,19,Middle Spotted Woodpecker,Leiopicus medius,LC
22681117,18,NA,NA,NA
22681124,34,Great Spotted Woodpecker,Dendrocopos major,LC
22681127,11,Syrian Woodpecker,Dendrocopos syriacus,LC
22681133,1,Sind Woodpecker,Dendrocopos assimilis,LC
22681139,1,Striped Woodpecker,Veniliornis lignarius,LC
22681149,4,Nuttall's Woodpecker,Dryobates nuttallii,LC
22681152,1,Ladder-backed Woodpecker,Dryobates scalaris,LC
22681155,23,Downy Woodpecker,Dryobates pubescens,LC
22681158,33,Red-cockaded Woodpecker,Leuconotopicus borealis,NT
22681166,15,Hairy Woodpecker,Leuconotopicus villosus,LC
22681169,1,White-headed Woodpecker,Leuconotopicus albolarvatus,LC
22681172,21,NA,NA,NA
22681181,9,Black-backed Woodpecker,Picoides arcticus,LC
22681199,1,Little Woodpecker,Veniliornis passerinus,LC
22681202,1,Dot-fronted Woodpecker,Veniliornis frontalis,LC
22681205,1,White-spotted Woodpecker,Veniliornis spilogaster,LC
22681208,1,Blood-colored Woodpecker,Veniliornis sanguineus,LC
22681240,1,Yellow-throated Woodpecker,Piculus flavigula,LC
22681243,1,Golden-green Woodpecker,Piculus chrysochloros,LC
22681246,1,Yellow-browed Woodpecker,Piculus aurulentus,NT
22681257,1,NA,NA,NA
22681262,2,NA,NA,NA
22681275,11,NA,NA,NA
22681282,28,NA,NA,NA
22681297,2,Chilean Flicker,Colaptes pitius,LC
22681300,1,NA,NA,NA
22681307,13,NA,NA,NA
22681314,3,Rufous Woodpecker,Micropternus brachyurus,LC
22681331,1,Chestnut Woodpecker,Celeus elegans,LC
22681338,1,Pale-crested Woodpecker,Celeus lugubris,LC
22681353,1,NA,NA,NA
22681360,4,Helmeted Woodpecker,Celeus galeatus,VU
22681363,14,Pileated Woodpecker,Hylatomus pileatus,LC
22681366,6,NA,NA,NA
22681379,1,Andaman Woodpecker,Dryocopus hodgei,VU
22681382,16,Black Woodpecker,Dryocopus martius,LC
22681399,2,Robust Woodpecker,Campephilus robustus,LC
22681402,2,Pale-billed Woodpecker,Campephilus guatemalensis,LC
22681405,1,Crimson-crested Woodpecker,Campephilus melanoleucos,LC
22681408,2,Guayaquil Woodpecker,Campephilus gayaquilensis,NT
22681411,1,Cream-backed Woodpecker,Campephilus leucopogon,LC
22681414,24,Magellanic Woodpecker,Campephilus magellanicus,LC
22681417,5,Imperial Woodpecker,Campephilus imperialis,PE
22681425,13,Ivory-billed Woodpecker,Campephilus principalis,CR
22681428,1,Banded Woodpecker,Chrysophlegma miniaceum,LC
22681431,2,Lesser Yellownape,Picus chlorolophus,LC
22681437,1,Greater Yellownape,Chrysophlegma flavinucha,LC
22681453,1,Streak-throated Woodpecker,Picus xanthopygaeus,LC
22681459,4,Japanese Woodpecker,Picus awokera,LC
22681463,18,NA,NA,NA
22681474,5,Maghreb Green Woodpecker,Picus vaillantii,LC
22681484,15,NA,NA,NA
22681496,2,Himalayan Flameback,Dinopium shorii,LC
22681500,1,NA,NA,NA
22681508,2,NA,NA,NA
22681514,2,NA,NA,NA
22681525,1,Pale-headed Woodpecker,Gecinulus grantia,LC
22681531,3,Okinawa Woodpecker,Dendrocopos noguchii,CR
22681546,1,Bay Woodpecker,Blythipicus pyrrhotis,LC
22681552,1,NA,NA,NA
22681565,1,NA,NA,NA
22681585,2,Great Slaty Woodpecker,Mulleripicus pulverulentus,VU
22681591,1,Great Barbet,Psilopogon virens,LC
22681600,1,Lineated Barbet,Psilopogon lineatus,LC
22681603,2,White-cheeked Barbet,Psilopogon viridis,LC
22681622,1,Black-banded Barbet,Psilopogon javensis,NT
22681649,1,Yellow-crowned Barbet,Psilopogon henricii,NT
22681658,1,NA,NA,NA
22681681,3,Coppersmith Barbet,Psilopogon haemacephalus,LC
22681732,1,Green Barbet,Cryptolybia olivacea,LC
22681754,1,Eastern Green Tinkerbird,Pogoniulus simplex,LC
22681761,1,Red-rumped Tinkerbird,Pogoniulus atroflavus,LC
22681765,2,Yellow-throated Tinkerbird,Pogoniulus subsulphureus,LC
22681774,1,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,LC
22681778,1,Red-fronted Tinkerbird,Pogoniulus pusillus,LC
22681782,1,NA,NA,NA
22681812,1,Banded Barbet,Lybius undatus,LC
22681816,1,Vieillot's Barbet,Lybius vieilloti,LC
22681837,1,Red-faced Barbet,Lybius rubrifacies,NT
22681885,1,Yellow-breasted Barbet,Trachyphonus margaritatus,LC
22681889,1,Red-and-yellow Barbet,Trachyphonus erythrocephalus,LC
22681911,1,Orange-fronted Barbet,Capito squamatus,LC
